challenge_id,challenge_type_disag,challenge_type
bee4a3f6-97d1-4c01-9836-de79b0c05e41,AD HOC,Cobertura
0d329547-ee6d-4326-bcdf-f3fa80567f61,AD HOC,Cobertura
a08eba7e-4b5f-42e4-9d23-83a4db2f09fe,AD HOC,Cobertura
d429837b-b18d-4ee9-87b8-673abadc072e,AD HOC,Cobertura
671eff9c-d0c0-4086-999d-a8b0cf562b0b,CANCELADO,xxxxxxxxx
7f2db1bb-4b22-4fc6-b4af-80c6ab9cc3a0,AD HOC,Cobertura
18ae0235-4129-4637-978a-5f83eca910b8,CANCELADO,xxxxxxxxx
11afc97a-6da2-4026-a091-699deb607e67,AD HOC,Cobertura
5d3be89c-da0b-4ae6-b1c0-2d4a4ea5aaaf,CANCELADO,xxxxxxxxx
f33abd1d-2fc1-4683-9e2c-a64238118986,CANCELADO,xxxxxxxxx
2ce279ca-0d97-45f4-8353-1cc0bde0a4d3,AD HOC,Cobertura
ebc402fd-78ce-404f-8a6d-02944e9cc7d1,AD HOC,Cobertura
67fa7a0c-366d-41b8-b96b-81c2c9d0fb8c,AD HOC,Cobertura
31a522c7-154a-40a1-a889-cbd8022c52b9,CANCELADO,xxxxxxxxx
ead6bce9-1dbf-432e-b460-88276f8b8fd3,CANCELADO,xxxxxxxxx
ec204e40-7a37-4ed6-a507-3c60748cbf6f,CANCELADO,xxxxxxxxx
933efac0-d854-4aa8-96c3-b6f6eeda4175,CANCELADO,xxxxxxxxx
51ddb68a-51d8-4ac5-a1df-3aaf467b8b76,CANCELADO,xxxxxxxxx
4fcd6544-580b-4a97-a8c2-0642e08e51ca,CANCELADO,xxxxxxxxx
993b0185-630b-4535-aecf-7991361c1a13,CANCELADO,xxxxxxxxx
a3c166a5-eaf5-4874-8918-d6ab23f2ad22,CANCELADO,xxxxxxxxx
6c373b24-7090-4b3f-9d41-2ee74c9b4fe7,CANCELADO,xxxxxxxxx
dcf39d84-43cb-40a7-80a5-5bd2a178f3d1,CANCELADO,xxxxxxxxx
a96f128e-904a-4acf-b279-7ad7342aa3ab,INNOVACION,Cobertura Inno
4dfbdacd-0825-4922-a3e0-7aca0abd4373,INNOVACION,Cobertura Inno
7fb33524-a955-40af-8a48-a376e1129f7d,INNOVACION,Cobertura Inno
e5339507-ae0b-4cd4-a521-75686b6baf43,INNOVACION,Cobertura Inno
d0821dcc-a926-488d-a081-1443cc48b944,INNOVACION,Cobertura Inno
6be7000c-255c-46fe-97db-cd35b1d5425b,INNOVACION,Cobertura Inno
ba2a671d-2729-4246-b07e-3ab11af2a651,CANCELADO,xxxxxxxxx
c6694ed0-2485-4218-8cda-8b003b3ff673,INNOVACION,Cobertura Inno
fb2268b1-1852-47d6-8285-866d28391ebb,INNOVACION,Cobertura Inno
fe3741a1-bbc8-45f3-b2e5-9f3e0391a99b,CANCELADO,xxxxxxxxx
e135056f-2bdb-4167-aa0f-cce3dfb35a3a,CANCELADO,xxxxxxxxx
e3ffbd6c-d3f1-41a9-864e-bdc1b3d8bcf7,INNOVACION,Cobertura Inno
670e4bf1-63d6-4c78-b09d-d6061da3b534,INNOVACION,Cobertura Inno
ef121577-0f2d-489a-969c-052c3c76d6d0,INNOVACION,Cobertura Inno
d33b788d-6c6c-4e27-b880-b5aebce4315b,CANCELADO,xxxxxxxxx
d8ccd958-ba09-4039-9554-d635572a39a4,CANCELADO,xxxxxxxxx
5274910a-a49e-49e0-bb22-d122898f57ff,INNOVACION,Cobertura Inno
c0651c42-f9f9-410a-9f43-222eb4a84583,INNOVACION,Cobertura Inno
85d626e8-1821-437d-a6b0-16619de2de88,AD HOC,Cobertura
c7690aab-2572-4fb3-9f58-2fd366dee64f,CANCELADO,xxxxxxxxx
e362f134-cb63-4d9d-9301-7b2638282fc3,AD HOC,Cobertura
e90d884f-f942-499b-b5e8-f944f3c49812,AD HOC,Cobertura
7f9da2c4-fcd2-410c-8382-d4fba2ec2176,AD HOC,Cobertura
3ce5d98f-2231-4830-93b1-0e2e173e87f4,CANCELADO,xxxxxxxxx
bf618b3f-985d-4fd1-af10-48b63eb9379e,AD HOC,Cobertura
139665d9-3909-47be-b69f-fd2d69745e29,CANCELADO,xxxxxxxxx
453c3403-5898-4b57-82cd-9e755eb4aa1c,AD HOC,Cobertura
bada56d5-4d39-40e7-bd57-daecefe13b36,AD HOC,Cobertura
49a26b22-e7a5-48bf-9519-262a8b26d90b,CANCELADO,xxxxxxxxx
9b3b1476-461e-42d9-84a7-6934465613d9,AD HOC,Cobertura
6db4d5d4-fafc-4d64-a2e7-a9e26d30c689,AD HOC,Cobertura
507ff9dd-06bc-439f-b075-f31711468479,CANCELADO,xxxxxxxxx
db3f2e10-2c36-441a-b950-058a2ace3624,CANCELADO,xxxxxxxxx
da27cc14-342e-4e00-bd99-241626b93ae1,CANCELADO,xxxxxxxxx
bfb1413b-70d5-4dfe-9c92-9085595e9593,CANCELADO,xxxxxxxxx
0d3370d9-b180-44cb-9b44-c6fd31a6446f,AD HOC,Cobertura
7324c73d-a6df-460f-a325-20c84dfe9d7e,CANCELADO,xxxxxxxxx
503aa2c3-e48b-4bea-8ea3-3769b049e804,CANCELADO,xxxxxxxxx
3ad1ecbb-b2d3-4111-aacb-332c8f7ba63d,CANCELADO,xxxxxxxxx
07700603-5df1-4b58-a94b-c47400e0e857,CANCELADO,xxxxxxxxx
5c5a28ab-6c64-4a62-9e5a-539ca98c51ab,AD HOC,Cobertura
ab7016ca-2ac0-436f-af50-f22cd735fdee,CANCELADO,xxxxxxxxx
d3d39cd7-1d67-4280-80a5-902191923c22,CANCELADO,xxxxxxxxx
4f4f684f-4e4d-465e-bfe5-b48485138ba0,CANCELADO,xxxxxxxxx
185738cb-87a3-43cc-8dac-6addc4c113da,AD HOC,Cobertura
2c318b8d-c115-4fa0-a943-cb1459987b40,CANCELADO,xxxxxxxxx
92114417-1074-4384-b35d-4f22c5ddd7ba,AD HOC,Cobertura
181db3b1-e186-4551-aeca-ef1fde16aef0,AD HOC,Cobertura
ce69bdd8-93fc-402c-ae3f-b34e0ecf627f,AD HOC,Cobertura
05803d54-0652-4c1a-988c-b2fd0a6dd588,AD HOC,Cobertura
8db203c6-c546-44a4-b177-4cb3ab6cb74b,CANCELADO,xxxxxxxxx
f2e7e0a8-6fdc-4d17-91d0-0a71db2944e6,AD HOC,Cobertura
c35bb26d-d3ab-452f-837d-1f47803f61dc,CANCELADO,xxxxxxxxx
1ab02aa0-c02a-4db9-9618-8048e266f363,AD HOC,Cobertura
7da44b2f-01cb-47fc-9a6a-1e98a3232b31,CANCELADO,xxxxxxxxx
8fba9b90-1248-483a-9bc9-d6e0c5d94abe,AD HOC,Cobertura
2acf2c9b-f95d-4aec-b335-b44ab552a6f9,AD HOC,Cobertura
084f0da3-7e9c-4506-b2d1-939b1358fe5c,AD HOC,Cobertura
fda64c12-da1a-4d99-a014-6ba90c40f2b6,AD HOC,Cobertura
d0688717-63bc-411c-baac-b48b0ecb7a1c,CANCELADO,xxxxxxxxx
469ad938-4fd9-4128-91b2-0ae6262c3948,CANCELADO,xxxxxxxxx
0062e14e-25b6-4a1f-9975-d9963a2cc10d,CANCELADO,xxxxxxxxx
ed5b3c64-e26f-4262-bd18-f62f110d20ef,INNOVACION,Cobertura Inno
2540188b-2ebe-48cc-b14f-8f74a5741449,CANCELADO,xxxxxxxxx
7318eb98-7497-432f-8b4e-15c16e23722e,INNOVACION,Cobertura Inno
840505b4-6d7b-46d8-9b50-7509c36b8dc3,CANCELADO,xxxxxxxxx
dd787f19-c936-4620-b4d3-5a9c1aeab09e,CANCELADO,xxxxxxxxx
245eaa3f-b082-4703-a76c-321fc1049b60,INNOVACION,Cobertura Inno
d38c38c2-4916-491c-bb4e-acd9e679bc2d,CANCELADO,xxxxxxxxx
9e9dea67-1aee-4a97-9931-653b4df2641d,CANCELADO,xxxxxxxxx
6f31d577-11fe-4228-8dc8-eb8512c0ca6d,CANCELADO,xxxxxxxxx
7d613ba5-c794-4a89-a02b-a8e7a14bc7c7,CANCELADO,xxxxxxxxx
6f32b2f5-2b2b-4b28-a33b-6e9309c646b1,CANCELADO,xxxxxxxxx
070cbf48-ee92-4b4a-82a1-602cd4d67a68,CANCELADO,xxxxxxxxx
2cb60a2c-e82a-4e77-9a02-bdc5cfbc7441,CANCELADO,xxxxxxxxx
111ecb77-0087-4aa0-9155-d9ae3b64eb23,CANCELADO,xxxxxxxxx
9f210a82-0c2d-4c75-b758-ae783b80b864,CANCELADO,xxxxxxxxx
bfec6309-5c13-4e99-82b5-0b711fa31d08,AD HOC,Cobertura
f0e305dd-b502-4db3-8bb0-a31435c62f9a,CANCELADO,xxxxxxxxx
8bbe3366-3ff3-4f33-b78c-89080daffe59,AD HOC,Cobertura
59b3d836-01ab-4351-83be-73fdd17906cf,AD HOC,Cobertura
1f448bf6-12ab-4d3c-8417-abccd159eaba,AD HOC,Cobertura
3b19dbeb-5e7f-4864-ad0b-0c11dc3d4719,CANCELADO,xxxxxxxxx
61357872-0d3c-4f50-ba74-28fe9f7e2f6c,AD HOC,Cobertura
d2f8761f-5c03-4d8f-836a-732f81aaa856,AD HOC,Cobertura
d2273965-e05f-4da2-b1a5-76964a98baeb,AD HOC,Cobertura
55811bde-553f-4b66-a99c-146379aac133,CANCELADO,xxxxxxxxx
