cliente_truck,cliente_chess,codigo_distri,codigo_bees
364526,60683,135958000,13595800060683
364531,60684,135958000,13595800060684
364633,60685,135958000,13595800060685
364634,60686,135958000,13595800060686
364636,60687,135958000,13595800060687
364707,60688,135958000,13595800060688
364732,60689,135958000,13595800060689
364812,60690,135958000,13595800060690
364940,60691,135958000,13595800060691
364944,60692,135958000,13595800060692
365096,60693,135958000,13595800060693
365106,60694,135958000,13595800060694
365235,60695,135958000,13595800060695
365276,60696,135958000,13595800060696
365520,60697,135958000,13595800060697
365738,60698,135958000,13595800060698
365746,60699,135958000,13595800060699
365932,60700,135958000,13595800060700
366011,60701,135958000,13595800060701
366093,60702,135958000,13595800060702
366329,60703,135958000,13595800060703
366435,60704,135958000,13595800060704
366985,60705,135958000,13595800060705
366988,60706,135958000,13595800060706
367505,60707,135958000,13595800060707
367600,60708,135958000,13595800060708
367658,60709,135958000,13595800060709
367727,60710,135958000,13595800060710
367756,60711,135958000,13595800060711
367757,60712,135958000,13595800060712
367890,60713,135958000,13595800060713
367909,60714,135958000,13595800060714
367990,60715,135958000,13595800060715
368235,60716,135958000,13595800060716
368263,60717,135958000,13595800060717
368398,60718,135958000,13595800060718
368526,60719,135958000,13595800060719
369770,60720,135958000,13595800060720
369781,60721,135958000,13595800060721
370945,60722,135958000,13595800060722
371100,60723,135958000,13595800060723
371293,60724,135958000,13595800060724
371725,60725,135958000,13595800060725
372205,60726,135958000,13595800060726
372252,60727,135958000,13595800060727
372259,60728,135958000,13595800060728
372270,60729,135958000,13595800060729
372510,60730,135958000,13595800060730
372552,60731,135958000,13595800060731
372611,60732,135958000,13595800060732
372632,60733,135958000,13595800060733
372938,60734,135958000,13595800060734
373675,60735,135958000,13595800060735
373677,60736,135958000,13595800060736
373680,60737,135958000,13595800060737
373684,60738,135958000,13595800060738
373707,60739,135958000,13595800060739
374570,60740,135958000,13595800060740
374703,60741,135958000,13595800060741
374947,60742,135958000,13595800060742
375051,60743,135958000,13595800060743
375062,60744,135958000,13595800060744
375069,60745,135958000,13595800060745
375109,60746,135958000,13595800060746
